Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location
Campus Bakers,4.3,"Bakery, Fast Food, Pizza, Sandwich, Burger",50.0,36.0,0,Agra
Mama Chicken Mama Franky House,4.0,"North Indian, Mughlai, Rolls, Burger, Momos",50.0,22.0,1,Agra
GMB - Gopika Sweets & Restaurant,4.2,"North Indian, South Indian, Chinese, Fast Food, Street Food",50.0,27.0,1,Agra
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai, Street Food, South Indian, Chinese, Ice Cream, Desserts, Beverages",50.0,28.0,0,Agra
Burger King,4.2,"Burger, Fast Food, Beverages",50.0,26.0,1,Agra
Star Ultimate Pizza,4.1,"Fast Food, Pasta, Beverages",50.0,31.0,0,Agra
Goverdhan Bakery,3.9,"Bakery, Fast Food, Desserts",50.0,29.0,1,Agra
Manoj Restaurant,4.1,"South Indian, Chinese, North Indian",50.0,21.0,1,Agra
Bikanervala,4.1,"Street Food, North Indian, Chinese, Mithai, South Indian, Fast Food, Desserts, Beverages",50.0,31.0,1,Agra
Cake Wala,3.9,Bakery,50.0,28.0,1,Agra
Bhagat Halwai,4.2,"Street Food, Fast Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",50.0,27.0,0,Agra
Kings Pizza And Burger,3.9,"Pizza, Fast Food",50.0,32.0,1,Agra
Cake House,3.4,"Bakery, Fast Food, Beverages",100.0,43.0,1,Agra
Bhagat Halwai,4.1,"North Indian, South Indian, Street Food, Fast Food, Beverages",100.0,28.0,1,Agra
Bhagat Halwai,4.0,"Fast Food, Chinese, South Indian, Street Food, Mithai, Desserts, Bakery, Beverages",100.0,35.0,1,Agra
Shiv Bhojnalaya,3.6,North Indian,100.0,33.0,1,Agra
Kwality Wall’s Frozen Dessert And Ice Cream Shop,4.3,"Ice Cream, Desserts",100.0,30.0,1,Agra
Laziz Pizza,4.1,"Pizza, Burger, Fast Food",100.0,36.0,1,Agra
Sardar Ji Da Dhaba,3.6,North Indian,100.0,32.0,1,Agra
Pushpak Misthan Bhandar and Sweet,4.2,"Mithai, Street Food",100.0,26.0,1,Agra
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai, Street Food",100.0,25.0,1,Agra
Shri Tirupati No.1 Family Restaurant,3.8,"North Indian, South Indian, Fast Food",100.0,33.0,1,Agra
Pizza Cave,4.1,"Pizza, Fast Food, Ice Cream, Beverages",100.0,38.0,0,Agra
Little N Chef,3.5,"Chinese, North Indian, Fast Food, Momos, Pizza, Sandwich",100.0,36.0,1,Agra
Big Crust,3.8,"Pizza, Pasta, Shake, Desserts, Fast Food",150.0,43.0,1,Agra
Shan E Hind,3.8,"North Indian, Rolls, Biryani",150.0,25.0,1,Agra
